	preSwitchB/CD19pos	switchB/CD19pos	CD45pos/PBMC	transitionals/naiveB	BCells/CD45pos	IgApos/switchB	naiveB/CD19pos	exhaustedB/CD19pos	plasmablasts/switchB
9591139	0.177	0.141	0.996	0.102	0.0582	0.386	0.635	0.0479	0.0363
9591210	0.0553	0.0523	0.998	0.0808	0.122	0.333	0.847	0.0456	0.112
9591288	0.168	0.215	0.949	0.0362	0.0532	0.359	0.556	0.0612	0.0403
9591295	0.0998	0.0951	0.997	0.052	0.0452	0.391	0.775	0.0297	0.084
9591324	0.103	0.1669999999999999	0.989	0.0207	0.044	0.417	0.675	0.0551	0.0759
9591327	0.24	0.159	0.989	0.0565	0.0355	0.338	0.529	0.0722	0.0474
9591343	0.121	0.237	0.997	0.0584	0.0187	0.352	0.5670000000000001	0.075	0.157
9591357	0.173	0.136	0.998	0.0324	0.0684999999999999	0.544	0.653	0.0382	0.0154
9591362	0.155	0.31	0.996	0.0447	0.0449	0.237	0.463	0.0726	0.0334
9591373	0.163	0.185	0.995	0.005	0.0637	0.429	0.564	0.0883999999999999	0.0321
9591384	0.0252	0.1639999999999999	0.998	0.0163	0.04	0.564	0.731	0.08	0.0797
9591391	0.0794	0.0906	0.992	0.055	0.104	0.439	0.8109999999999999	0.0193	0.0679
9591404	0.0953999999999999	0.151	0.997	0.0314	0.0466	0.354	0.691	0.0621	0.0827
9591424	0.0403	0.0841	0.997	0.0483	0.108	0.356	0.85	0.026	0.0886999999999999
9591430	0.193	0.328	0.995	0.0153	0.037	0.278	0.366	0.113	0.0258
9591431	0.0853999999999999	0.188	0.997	0.0401	0.0446	0.0731	0.69	0.0358	0.0166
9591443	0.105	0.0594	0.996	0.035	0.0832	0.516	0.813	0.023	0.0589
9591446	0.151	0.259	0.999	0.0356	0.0666	0.581	0.54	0.0499	0.0281
9591458	0.0235	0.0302	0.994	0.054	0.0713999999999999	0.268	0.921	0.0253	0.203
9591470	0.0403	0.059	0.994	0.0423	0.104	0.289	0.879	0.0216	0.0613
9591480	0.036	0.0633	0.994	0.0064	0.112	0.482	0.8440000000000001	0.0566	0.0335
9467516	0.176	0.13	0.988	0.0684	0.0425	0.489	0.629	0.0652	0.0836
9467537	0.0407	0.108	0.988	0.0531	0.0716	0.348	0.8140000000000001	0.0373	0.19
9467544	0.109	0.1	0.994	0.0662	0.118	0.29	0.743	0.0486	0.0371
9467545	0.154	0.0522	0.988	0.03	0.0908	0.4	0.768	0.0254	0.0513
9467546	0.242	0.113	0.988	0.0248	0.0938	0.441	0.628	0.0174	0.0137
9467564	0.0597	0.131	0.997	0.0626	0.049	0.359	0.778	0.0316	0.0587
9467636	0.0774	0.102	0.992	0.0516	0.0533	0.435	0.775	0.0456	0.032
9467637	0.0865	0.133	0.993	0.0287	0.0766	0.328	0.74	0.0406	0.0184
9467668	0.0933	0.0698	0.992	0.0259	0.104	0.455	0.809	0.0278	0.0185
9467674	0.0548	0.0359	0.995	0.0414	0.118	0.349	0.8740000000000001	0.0355	0.0305
9467689	0.0569	0.31	0.884	0.044	0.0575	0.122	0.516	0.117	0.012
9467707	0.0619	0.113	0.988	0.0333	0.0904	0.392	0.7959999999999999	0.0285	0.014
9467710	0.0616	0.0541	0.993	0.033	0.115	0.298	0.852	0.0324	0.0226
9467712	0.0911	0.0819	0.986	0.0303	0.091	0.396	0.79	0.037	0.0296
9467716	0.0727	0.121	0.995	0.0288	0.11	0.308	0.752	0.0549	0.0191
9467720	0.159	0.0815	0.988	0.0343	0.038	0.314	0.73	0.0292	0.0577
9467722	0.328	0.132	0.995	0.0779	0.0407	0.442	0.503	0.0365	0.062
9467764	0.0844999999999999	0.0759	0.993	0.0599	0.0764	0.448	0.8140000000000001	0.0252	0.079
9467809	0.0717	0.075	0.993	0.03	0.0749	0.4320000000000001	0.8190000000000001	0.0344	0.112
9467816	0.138	0.147	0.995	0.0398	0.0476999999999999	0.41	0.664	0.0509	0.0468
9467839	0.0649	0.121	0.997	0.0244	0.0639	0.42	0.7490000000000001	0.0649	0.0838
